artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,genre_code
Landon Pigg,Falling in Love at a Coffee Shop,0.58,244986,0,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,0.3429194812879049,3,acoustic,0
Andrew Foy;Renee Foy,ily (i love you baby),0.56,129750,0,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,0.4526157487303387,4,acoustic,0
Andrew Foy;Renee Foy,At My Worst,0.54,169728,0,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,0.3772126620975297,4,acoustic,0
Boyce Avenue;Bea Miller,Photograph,0.67,260186,0,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,0.4435432177900498,4,acoustic,0
Boyce Avenue;Jennel Garcia,Demons,0.63,174174,0,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,0.3699357362391729,4,acoustic,0
Jason Mraz,93 Million Miles,0.0,216386,0,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,0.5759988823693768,4,acoustic,0
Jason Mraz,Unlonely,0.0,231266,0,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,0.4026264319642358,4,acoustic,0
Jason Mraz,Bella Luna,0.01,302346,0,0.755,0.454,9,-9.609,0,0.0352,0.757,0.0,0.236,0.33,0.4933188698782111,4,acoustic,0
Jason Mraz,Winter Wonderland,0.0,131760,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,0.5972872803773647,4,acoustic,0
Jason Mraz,If It Kills Me,0.0,273653,0,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,0.5908362506779744,4,acoustic,0
Chord Overstreet,All I Want For Christmas Is A Real Good Tan,0.0,234186,0,0.593,0.455,6,-8.192,1,0.0388,0.366,0.0,0.0914,0.564,0.8300831648669527,4,acoustic,0
Brandi Carlile;Sam Smith,Party of One,0.0,259558,0,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,0.6796180332988182,4,acoustic,0
KT Tunstall,Lonely This Christmas,0.0,257493,0,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,0.3503361109741466,4,acoustic,0
Brandi Carlile,Throwing Good After Bad,0.0,247791,0,0.501,0.0952,2,-12.931,1,0.054,0.963,1.58e-05,0.0915,0.316,0.5670989267458869,4,acoustic,0
Brandi Carlile,This Time Tomorrow,0.0,206267,0,0.606,0.326,10,-10.031,1,0.0294,0.841,0.0,0.139,0.414,0.37648538040530544,4,acoustic,0
Eddie Vedder,The Haves,0.0,306794,0,0.474,0.519,7,-5.291,1,0.0253,0.281,0.0,0.107,0.326,0.6238679881005209,4,acoustic,0
Brandi Carlile,When You're Wrong,0.0,266960,0,0.568,0.301,10,-10.163,0,0.0373,0.796,3.37e-06,0.118,0.142,0.3617055372023075,4,acoustic,0
Brandi Carlile;Lucius,You and Me on the Rock,0.0,230098,0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,0.7070451818615123,4,acoustic,0
Brandi Carlile,"Speak Your Mind (From the Netflix Series ""We The People"")",0.0,193943,0,0.476,0.666,6,-3.438,1,0.0446,0.314,0.0,0.342,0.498,0.6087594300083822,4,acoustic,0
Highland Peak,Trampoline - Acoustic,0.46,213098,0,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,0.44332544417599395,4,acoustic,0
Motohiro Hata,透明だった世界,0.61,232360,0,0.373,0.914,0,-4.185,1,0.0565,0.076,0.0,0.669,0.56,0.6911641437798925,4,acoustic,0
Andrew Belle,Pieces,0.6,241119,0,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,0.5629982085038542,4,acoustic,0
Ron Pope,A Drop in the Ocean,0.68,220239,0,0.447,0.393,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,0.30052347846095684,3,acoustic,0
Adam Christopher,So Far Away - Acoustic,0.52,171543,0,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,0.6123136597472183,4,acoustic,0
Andrew Belle,The Enemy,0.62,286865,0,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,0.5011833736009073,4,acoustic,0
Aron Wright,Build It Better,0.51,234473,0,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,0.3901475929852242,4,acoustic,0
Chord Overstreet,Sleepwalking in the Rain,0.0,216000,0,0.501,0.381,0,-9.448,1,0.036,0.687,0.00133,0.119,0.502,0.32902305934947323,4,acoustic,0
Sara Bareilles,Gravity,0.67,232760,0,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,0.6942622816100454,4,acoustic,0
Chord Overstreet,What's Left of You,0.57,178600,1,0.731,0.507,0,-6.477,1,0.046,0.572,0.0,0.0912,0.265,0.4847270844632907,4,acoustic,0
Zack Tabudlo,Pano,0.75,254400,0,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,0.7184022812813305,3,acoustic,0
Andrew Belle,Sky's Still Blue,0.62,244320,0,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,0.7061781963414032,4,acoustic,0
Kurt Cobain,And I Love Her,0.66,124933,0,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,0.3970793682099831,4,acoustic,0
Boyce Avenue;Bea Miller,We Can't Stop,0.64,222146,0,0.705,0.347,2,-8.249,1,0.0301,0.674,0.0,0.12,0.36,0.3289490984994165,4,acoustic,0
Tim Halperin,Always Be My Baby,0.62,181852,0,0.582,0.255,4,-10.254,1,0.0306,0.772,0.0,0.0889,0.285,0.574774419407327,4,acoustic,0
Canyon City,Alone with You,0.58,186584,0,0.549,0.274,1,-12.565,1,0.0379,0.798,6.63e-06,0.103,0.207,0.3560968394063409,4,acoustic,0
Aaron Espe,Making All Things New,0.65,159600,0,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,0.41080321483161575,4,acoustic,0
Sara Bareilles,She Used To Be Mine,0.67,250266,0,0.397,0.303,5,-7.508,1,0.0435,0.381,0.0,0.101,0.172,0.33302927206087796,4,acoustic,0
Andrew Belle,In My Veins - Feat. Erin Mccarley,0.65,318908,0,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,0.525993129858817,4,acoustic,0
Tyler Ward,I Don't Wanna Live Forever (Fifty Shades Darker),0.44,222351,0,0.787,0.403,0,-11.989,1,0.033,0.603,0.00857,0.131,0.264,0.4850270367996318,4,acoustic,0
Ron Pope,A Drop In the Ocean,0.55,219480,0,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14e-06,0.15,0.346,0.5751113521686965,3,acoustic,0
Five For Fighting,Superman (It's Not Easy),0.7,221693,0,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,0.41947717896882136,4,acoustic,0
Andrew Belle,When the End Comes,0.57,354400,0,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,0.37793994378975393,4,acoustic,0
Bailey Jehl,You're Still The One,0.56,177500,0,0.607,0.473,2,-8.555,1,0.034,0.712,0.0,0.66,0.54,0.4918314350048485,4,acoustic,0
Ingrid Michaelson,Light Me Up,0.56,247840,0,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,0.6078267015104448,4,acoustic,0
A Great Big World,Kaleidoscope,0.62,229320,0,0.709,0.913,7,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,0.4438637148069622,4,acoustic,0
Eddie Vedder;Nusrat Fateh Ali Khan,The Long Road,0.45,330933,0,0.537,0.342,2,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,0.44884374537744687,4,acoustic,0
Drew Holcomb & The Neighbors,What Would I Do Without You,0.64,172213,0,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,0.3734776391696662,4,acoustic,0
Jason Mraz,Have It All,0.65,226106,0,0.643,0.638,1,-4.947,0,0.0407,0.204,0.0,0.0707,0.6,0.3369368703055405,4,acoustic,0
Gabrielle Aplin,Heavy Heart,0.0,235173,0,0.451,0.7,10,-6.597,0,0.0431,0.455,0.00233,0.405,0.37,0.6165664086254787,4,acoustic,0
Gabrielle Aplin,The House We Never Built,0.0,195213,0,0.546,0.391,2,-10.786,0,0.063,0.784,2.72e-06,0.0552,0.202,0.5738909981427609,4,acoustic,0
Eddie Vedder,Society,0.68,236306,0,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,0.6650641815821048,4,acoustic,0
Gabrielle Aplin,Please Don't Say You Love Me,0.0,181400,0,0.479,0.541,0,-9.862,1,0.0543,0.74,0.0,0.108,0.3,0.3533438522097858,4,acoustic,0
Eddie Vedder,Guaranteed,0.61,164500,0,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,0.4139095705339973,4,acoustic,0
Sara Bareilles,Brave,0.7,220573,0,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,0.760412044113538,4,acoustic,0
Five For Fighting,Heaven Knows,0.62,210612,0,0.6,0.845,10,-7.076,1,0.0311,0.048,0.0,0.24,0.392,0.4011595417714445,4,acoustic,0
The Civil Wars,I Heard The Bells On Christmas Day,0.0,154440,0,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,0.370124747300429,4,acoustic,0
KT Tunstall,Fairytale Of New York,0.0,263866,0,0.447,0.555,2,-6.018,1,0.0349,0.218,3.46e-06,0.124,0.33,0.4843942606380356,3,acoustic,0
KT Tunstall,Hold On,0.0,177613,0,0.661,0.937,4,-5.157,0,0.0979,0.322,1.04e-06,0.19,0.805,0.43369409792416547,4,acoustic,0
KT Tunstall,Suddenly I See,0.0,199040,0,0.603,0.78,0,-5.531,1,0.0438,0.139,0.0,0.164,0.693,0.4129439705471459,4,acoustic,0
Motohiro Hata,Rain,0.58,293040,0,0.626,0.655,9,-6.69,1,0.0263,0.503,0.0,0.13,0.542,0.37803444932038194,4,acoustic,0
Callum J Wright,Somebody Else - Acoustic,0.5,138495,0,0.794,0.38,10,-8.769,0,0.0477,0.762,0.0,0.262,0.617,0.4724865637789063,4,acoustic,0
Andrew Belle,Pieces (Hushed),0.59,198626,0,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,0.2861545288693851,4,acoustic,0
Boyce Avenue;Fifth Harmony,Mirrors,0.57,292566,0,0.545,0.658,1,-7.174,1,0.0474,0.496,0.0,0.105,0.683,0.31626892165080617,4,acoustic,0
Boyce Avenue,Stand by Me,0.6,199019,0,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,0.4733042420656443,4,acoustic,0
Gabrielle Aplin;JP Cooper,Losing Me,0.61,181760,0,0.66,0.407,7,-8.381,1,0.0571,0.236,0.0,0.109,0.257,0.550022188255017,4,acoustic,0
Mone Kamishiraishi,なんでもないや - movie ver.,0.49,349920,0,0.357,0.161,8,-10.667,1,0.0388,0.971,1.4e-05,0.358,0.325,0.3428866097989908,4,acoustic,0
John Adams,You’re Beautiful - Acoustic,0.55,204973,0,0.479,0.154,2,-11.282,1,0.0352,0.915,0.0,0.0974,0.36,0.6048641585720624,4,acoustic,0
Kitri,Hikare Inochi,0.51,322146,0,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66e-06,0.137,0.385,0.41924707854642274,4,acoustic,0
Tyler Ward,How To Lose a Girl,0.46,210375,0,0.7,0.454,7,-10.39,0,0.0388,0.55,0.0022,0.121,0.34,0.3287600874381605,3,acoustic,0
Boyce Avenue,Can’t Help Falling in Love,0.57,131000,0,0.402,0.197,5,-10.775,1,0.0295,0.858,1.05e-06,0.114,0.148,0.411074404615157,3,acoustic,0
Andrew Belle,Dive Deep (Hushed),0.58,218531,0,0.507,0.378,9,-9.019,1,0.0332,0.852,0.000212,0.0937,0.085,0.5582400604835396,4,acoustic,0
Ben Woodward,When the Party's over (Acoustic Piano),0.51,195945,0,0.619,0.226,4,-13.453,1,0.0641,0.959,4.42e-05,0.106,0.188,0.5134526568380914,3,acoustic,0
Augustana,Boston,0.63,245933,0,0.404,0.571,0,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,0.604054698157553,4,acoustic,0
Matthew Perryman Jones,Living in the Shadows,0.53,212386,0,0.418,0.79,4,-6.599,0,0.0506,0.0284,9.96e-06,0.117,0.197,0.7230700327071314,4,acoustic,0
Boyce Avenue,In Case You Didn’t Know,0.6,225165,0,0.633,0.299,11,-7.798,1,0.0353,0.833,0.0,0.109,0.341,0.6062694147231399,4,acoustic,0
Andrew Foy;Renee Foy,death bed (coffee for your head),0.47,112008,0,0.565,0.0392,1,-28.276,1,0.045,0.835,0.183,0.117,0.601,0.5152564797922522,4,acoustic,0
Kina Grannis,You Are My Sunshine,0.6,123609,0,0.664,0.0755,10,-19.836,1,0.0389,0.91,0.0,0.164,0.575,0.32873132488536067,1,acoustic,0
Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,0.67,265843,0,0.65,0.271,9,-11.081,1,0.0314,0.794,6.9e-05,0.196,0.21,0.32064493861249443,4,acoustic,0
Meg Birch,Only Love Can Hurt Like This,0.43,194194,0,0.534,0.213,1,-8.64,1,0.0283,0.884,0.0,0.107,0.0998,0.40425767960159753,4,acoustic,0
Catherine Feeny,Mr Blue,0.54,154600,0,0.456,0.386,10,-10.293,1,0.032,0.835,0.108,0.389,0.612,0.6809863090248672,4,acoustic,0
Joshua Hyslop,Do Not Let Me Go,0.6,158960,0,0.409,0.234,3,-13.711,1,0.0323,0.338,5e-05,0.0895,0.145,0.5745607547293854,4,acoustic,0
Ross Copperman,Holding On And Letting Go,0.49,319000,0,0.502,0.53,2,-9.573,1,0.0266,0.805,0.000738,0.0728,0.102,0.3206860279736371,4,acoustic,0
JJ Heller,You Already Know,0.57,214360,0,0.496,0.117,0,-12.884,1,0.0301,0.933,0.0,0.126,0.318,0.3207764245681508,4,acoustic,0
Ben Woodward,Believer (Remix),0.42,204480,0,0.585,0.724,1,-6.513,0,0.0745,0.315,0.0681,0.0448,0.333,0.7703597784461647,3,acoustic,0
Howie Day,Collide - Acoustic Version,0.67,277000,0,0.582,0.253,10,-11.43,1,0.0259,0.827,2.95e-05,0.091,0.294,0.3705685124007692,4,acoustic,0
Ben Rector,Love Like This,0.61,214240,0,0.637,0.14,2,-11.472,1,0.0407,0.903,0.0,0.107,0.392,0.5743470900514438,4,acoustic,0
Matt Nathanson,Come On Get Higher,0.71,215173,0,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,0.3780960833620959,4,acoustic,0
Rachael Yamagata,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",0.49,296862,0,0.422,0.272,4,-10.772,0,0.0353,0.496,1.07e-05,0.0704,0.113,0.5892748549545552,4,acoustic,0
Parachute,Kiss Me Slowly,0.61,235813,0,0.47,0.801,9,-6.426,1,0.0352,0.0758,3.53e-05,0.218,0.431,0.7146261689923245,4,acoustic,0
Parachute,Without You,0.61,228933,0,0.564,0.864,4,-5.121,1,0.0341,0.0761,0.0,0.182,0.534,0.3943921239912561,4,acoustic,0
Jason Mraz,Absolutely Zero,0.2,339196,0,0.521,0.495,5,-7.756,1,0.027,0.128,0.0,0.296,0.116,0.5549570205282448,4,acoustic,0
Jason Mraz,Sleep All Day,0.22,296843,0,0.616,0.81,2,-6.51,1,0.0668,0.369,0.0,0.107,0.79,0.4026510855809214,4,acoustic,0
Jason Mraz,You and I Both,0.35,218240,0,0.615,0.812,7,-6.573,1,0.0458,0.184,0.0,0.328,0.74,0.40659566425061217,4,acoustic,0
Eddie Vedder,Long Nights,0.6,151773,0,0.478,0.305,5,-13.062,1,0.0306,0.675,0.00139,0.169,0.0974,0.4464769981756323,4,acoustic,0
Jason Mraz,Who Needs Shelter,0.22,192260,0,0.514,0.569,6,-7.866,0,0.03,0.601,2.21e-06,0.218,0.264,0.585921963085318,4,acoustic,0
Jason Mraz,No Stopping Us,0.19,198855,0,0.646,0.836,1,-6.203,1,0.0327,0.301,3.23e-05,0.29,0.727,0.43551024768666896,4,acoustic,0
Jason Mraz,I'll Do Anything,0.24,191889,0,0.57,0.711,9,-4.155,1,0.0703,0.119,0.0,0.352,0.648,0.6702373321499596,4,acoustic,0
JJ Heller,Make You Feel My Love,0.57,171293,0,0.678,0.199,9,-9.785,1,0.0307,0.957,3.23e-06,0.0968,0.262,0.29586805384349885,4,acoustic,0
Jason Mraz,The Remedy (I Won't Worry),0.35,256440,0,0.589,0.867,10,-4.523,1,0.0385,0.041,0.0,0.306,0.795,0.3883766415199776,4,acoustic,0
Jason Mraz,Too Much Food,0.2,221425,0,0.626,0.926,2,-4.441,1,0.0477,0.0265,0.0,0.159,0.548,0.4108812846177867,4,acoustic,0
Jason Mraz,The Boy's Gone,0.18,255047,0,0.686,0.556,1,-8.5,0,0.0271,0.532,0.0,0.0922,0.36,0.46429745410318357,4,acoustic,0
Jason Mraz,"On Love, in Sadness",0.19,208793,0,0.56,0.832,9,-5.595,1,0.0352,0.108,0.0,0.232,0.802,0.41482586328747756,4,acoustic,0
Jason Mraz,Curbside Prophet,0.23,214552,0,0.619,0.793,5,-5.964,1,0.0661,0.263,0.0,0.0828,0.892,0.7313536479134822,4,acoustic,0
Jason Mraz,"Tonight, Not Again - Live",0.19,264280,0,0.56,0.278,3,-12.501,1,0.0921,0.733,0.0,0.112,0.594,0.419879854708019,4,acoustic,0
Jason Mraz,"Tonight, Not Again",0.18,289041,0,0.595,0.805,8,-7.926,1,0.0543,0.0167,1.06e-05,0.0691,0.359,0.42091941554492707,4,acoustic,0
Eddie Vedder,Hard Sun,0.65,322080,0,0.438,0.827,8,-6.531,1,0.0328,0.0512,0.000402,0.319,0.645,0.5891269332544418,4,acoustic,0
Susie Suh;Robot Koch,Here with Me,0.55,238971,0,0.582,0.375,1,-13.277,0,0.0329,0.702,0.0631,0.136,0.106,0.5337877816675706,4,acoustic,0
Tyler Ward;Lindsey Stirling;Kina Grannis,The Scientist,0.47,276575,0,0.453,0.295,7,-12.881,1,0.0291,0.518,0.00011,0.293,0.14,0.5999950692766628,4,acoustic,0
Howie Day,Collide,0.56,249120,0,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,0.38595647814867773,4,acoustic,0
Eden Elf;Ren Avel,get better,0.53,111734,0,0.639,0.201,7,-16.613,0,0.0526,0.907,2.26e-05,0.124,0.4,0.3620260342192199,4,acoustic,0
Kitri,Sympathy,0.49,210760,0,0.69,0.423,2,-9.194,0,0.0294,0.883,0.0123,0.111,0.59,0.534658876123794,4,acoustic,0
Boyce Avenue;Rachel Grae,Let It Go,0.51,255688,0,0.599,0.349,1,-9.269,1,0.0301,0.819,0.0,0.112,0.444,0.607765067468731,4,acoustic,0
Chord Overstreet,What You Need,0.53,181786,0,0.519,0.264,0,-11.171,1,0.0601,0.918,0.000253,0.237,0.192,0.5767056193810299,4,acoustic,0
Five For Fighting,100 Years,0.66,244600,0,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,0.49515556432128593,4,acoustic,0
Andrew Belle,You're the Sea,0.56,174546,0,0.573,0.624,1,-9.076,0,0.0324,0.471,0.117,0.114,0.529,0.661641437798925,4,acoustic,0
Rachael Yamagata,No Direction,0.47,234330,0,0.654,0.821,7,-5.472,1,0.0264,0.00666,0.00299,0.228,0.613,0.4600282694804661,4,acoustic,0
Cary Brothers,Belong,0.51,255600,0,0.426,0.399,0,-8.447,1,0.034,0.761,0.00112,0.118,0.217,0.4765503015959108,4,acoustic,0
The Mayries,As It Was,0.55,176542,0,0.505,0.21,11,-11.349,1,0.0295,0.907,0.0,0.11,0.323,0.331677432079286,4,acoustic,0
Joseph Sullinger,Chi Mai,0.4,188695,0,0.739,0.287,6,-14.007,0,0.059,0.969,0.961,0.111,0.557,0.33134460825403084,4,acoustic,0
Parachute,Had It All,0.55,216853,0,0.606,0.54,7,-6.271,0,0.0339,0.182,0.000144,0.144,0.249,0.32851766020741907,4,acoustic,0
Zack Tabudlo;Yonnyboii,Take Me Back ft. Yonnyboii,0.5,149000,0,0.595,0.646,0,-5.495,1,0.0327,0.11,0.0,0.258,0.563,0.49327367158095425,4,acoustic,0
Tobey Rosen,Whole Again - Acoustic Version,0.52,157231,0,0.736,0.145,11,-9.215,1,0.0336,0.855,0.0,0.108,0.235,0.5334713935867724,4,acoustic,0
The Mayries,Overpass Graffiti,0.54,226603,0,0.479,0.126,1,-13.974,1,0.0303,0.966,0.0,0.113,0.279,0.39580148907844775,4,acoustic,0
Sara Bareilles,Love Song,0.73,258826,0,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,0.5056251335404237,4,acoustic,0
Andrew Foy;Renee Foy,Let Her Go,0.38,194013,0,0.549,0.291,2,-13.457,1,0.0388,0.858,0.000846,0.129,0.376,0.30879887579507914,4,acoustic,0
Aqualung,Brighter Than Sunshine,0.53,242439,0,0.418,0.489,6,-8.373,0,0.0323,0.287,0.0288,0.42,0.398,0.2995044623046201,4,acoustic,0
Tyler Ward;Karis;Ray Lorraine,Love Story,0.55,232500,0,0.498,0.12,0,-17.721,1,0.0487,0.851,0.0,0.171,0.338,0.4979496408789836,4,acoustic,0
Agustín Amigó;Nylonwings,Mujer con Abanico,0.41,156787,0,0.769,0.135,5,-12.049,0,0.061,0.986,0.905,0.106,0.471,0.42707871078020476,4,acoustic,0
Amy Stroup,In the Shadows,0.46,263823,0,0.434,0.469,0,-7.849,0,0.0265,0.52,0.000328,0.108,0.0568,0.5599740315237579,4,acoustic,0
Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,0.63,250916,0,0.452,0.198,10,-9.374,1,0.0335,0.931,2.24e-06,0.1,0.217,0.4910137567181105,4,acoustic,0
Brandi Carlile,The Story,0.66,238493,0,0.544,0.5,11,-8.253,1,0.026,0.0325,3.78e-06,0.109,0.177,0.3846827079532567,4,acoustic,0
JJ Heller,Better,0.54,215906,0,0.662,0.187,2,-9.003,1,0.0268,0.969,0.000273,0.0922,0.233,0.43138898476406484,4,acoustic,0
Kina Grannis,Iris,0.62,181136,0,0.497,0.13,6,-15.571,1,0.0436,0.841,0.0,0.111,0.179,0.5373214667258354,3,acoustic,0
The Mayries,Rockabye - Acoustic Version,0.57,157466,0,0.528,0.291,10,-9.696,1,0.0401,0.914,0.0,0.121,0.355,0.31558683825583883,4,acoustic,0
Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,0.68,233728,0,0.461,0.522,11,-7.513,1,0.043,0.36,0.0,0.123,0.446,0.648258632874776,4,acoustic,0
Boyce Avenue,Beautiful Soul,0.62,216612,0,0.483,0.506,9,-6.058,1,0.0347,0.394,0.0,0.0946,0.705,0.3588621534112388,4,acoustic,0
Jason Mraz,Let's See What The Night Can Do,0.53,245186,0,0.392,0.423,7,-7.813,1,0.0348,0.27,0.0,0.117,0.288,0.4665162796048847,4,acoustic,0
Rachael Yamagata,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",0.44,219613,0,0.42,0.2,7,-18.827,1,0.0492,0.929,0.49,0.0758,0.164,0.3584964580970695,4,acoustic,0
Parachute,Forever And Always,0.57,248960,0,0.657,0.716,2,-5.675,1,0.0301,0.014,0.0,0.0483,0.435,0.3859277155958779,4,acoustic,0
Priscilla Ahn,Fine On The Outside,0.52,252466,0,0.495,0.185,9,-13.824,1,0.0288,0.692,0.00403,0.109,0.196,0.41865950068208335,4,acoustic,0
Chord Overstreet,Tortured Soul,0.53,246613,0,0.55,0.499,4,-9.502,1,0.0338,0.472,2.26e-06,0.0798,0.144,0.3573377381128478,1,acoustic,0
JJ Heller,I Believe in You,0.53,198786,0,0.534,0.359,0,-9.311,1,0.0296,0.449,1.2e-05,0.331,0.267,0.5415742156040958,4,acoustic,0
Jon Bryant,At Home,0.55,226640,0,0.378,0.52,11,-10.965,1,0.0382,0.777,0.0888,0.0979,0.357,0.30300938481008494,4,acoustic,0
Donovan Woods,"Portland, Maine",0.66,203869,0,0.606,0.349,4,-13.967,1,0.0319,0.764,0.306,0.112,0.156,0.32900662360501615,4,acoustic,0
Ross Copperman,Holding On and Letting Go,0.49,317441,0,0.486,0.555,2,-9.466,1,0.0271,0.818,0.00269,0.109,0.0992,0.32044360074289563,4,acoustic,0
Joshua Hyslop,The Flood,0.6,261640,0,0.577,0.446,6,-11.343,1,0.0313,0.554,0.0782,0.116,0.262,0.3328443699357362,4,acoustic,0
Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),0.38,211933,0,0.59,0.407,4,-9.079,1,0.0361,0.861,9.95e-06,0.094,0.276,0.5992965501372385,4,acoustic,0
